file
field_collection2
field_parent_collection_call_num
field_collection_url
field_member_of
field_local_identifier
title
url_alias
field_edtf_date_created
field_date_created_text
field_description_long
field_note
field_cnair_subject
field_language
field_geographic_subject
field_linked_agent
field_related_materials_note
field_mods_relateditem_titleinfo
field_related_resource_url
field_date_digitized
field_resource_type
field_model
field_digital_origin
field_reformatting_quality
